n, value, std, method 
400,-2.5047938304482855,0.32827564855832286,persTree
400,-2.5219975092286475,0.23975920934583006,persForest
400,-3.6240975679049834,0.5524271728019899,RF
400,-3.840111155015229,0.21107665110046256,linReg
600,-2.380075204779143,0.44279086780062493,persTree
600,-2.4234428303600697,0.2731021218463251,persForest
600,-3.5875701668772044,0.38004110389505047,RF
600,-3.630077923367229,0.25869760287312676,linReg
800,-2.432845225027755,0.25863322385732923,persTree
800,-2.46964311584625,0.23383731272514707,persForest
800,-3.7795058629378637,0.3016095275203269,RF
800,-3.848497699879423,0.31550696273415646,linReg
1000,-2.344554416465693,0.29763749734823075,persTree
1000,-2.446854277789988,0.19150346671381718,persForest
1000,-3.841856278751624,0.25054964687712455,RF
1000,-3.698439352698957,0.24186751066743187,linReg
1200,-2.3248963204459017,0.2746220138735124,persTree
1200,-2.3465080618734686,0.22862020843058345,persForest
1200,-3.7825742803917715,0.3074377309506733,RF
1200,-3.774370692238766,0.31230549502405924,linReg
1400,-2.4909614290677,0.23820216429108107,persTree
1400,-2.536031402176484,0.1480483972683253,persForest
1400,-3.8185265804419224,0.25830384700878384,RF
1400,-3.719030453679316,0.3271833863225043,linReg
1600,-2.5094344986359007,0.3694642199618117,persTree
1600,-2.4650952004337534,0.16159222379620372,persForest
1600,-3.740645747884186,0.3293975688757225,RF
1600,-3.825735335628412,0.255686990703364,linReg
1800,-2.409828241807487,0.20706899725844602,persTree
1800,-2.4835527899506418,0.10656672275035853,persForest
1800,-3.7572983735650194,0.32141217326661226,RF
1800,-3.5770248917983225,0.3813609606399373,linReg
2000,-2.406251829404545,0.2149776915433678,persTree
2000,-2.4587963154248547,0.11577016110840527,persForest
2000,-3.963829971610015,0.2158834517136121,RF
2000,-3.7762242436919022,0.2746045752180772,linReg
